UnitID,10rateFinal 
   1.00000,   0.04023
   2.00000,   0.04500
   3.00000,   0.04584
   4.00000,   0.06229
   5.00000,   0.06136
   6.00000,   0.05153
   7.00000,   0.06019
   8.00000,   0.06060
   9.00000,   0.05664
  10.00000,   0.05628
  11.00000,   0.06804
  12.00000,   0.06157
  13.00000,   0.06090
  14.00000,   0.05590
  15.00000,   0.05208
  16.00000,   0.06676
  17.00000,   0.05031
  18.00000,   0.05755
  19.00000,   0.05351
  20.00000,   0.06114
  21.00000,   0.07122
  22.00000,   0.05483
  23.00000,   0.06277
  24.00000,   0.06010
  25.00000,   0.06087
  26.00000,   0.06756
  27.00000,   0.05029
  28.00000,   0.05913
  29.00000,   0.04144
  30.00000,   0.05272
  31.00000,   0.05806
  32.00000,   0.04492
  33.00000,   0.04325
  34.00000,   0.06879
  35.00000,   0.04976
  36.00000,   0.05348
  37.00000,   0.05956
  38.00000,   0.05491
  39.00000,   0.05955
  40.00000,   0.04586
  41.00000,   0.05452
  42.00000,   0.04161
  43.00000,   0.05839
  44.00000,   0.04715
  45.00000,   0.05439
  46.00000,   0.04450
  47.00000,   0.03786
  48.00000,   0.06017
  49.00000,   0.05655
  50.00000,   0.07811
  51.00000,   0.04617
  52.00000,   0.06719
  53.00000,   0.04737
  60.00000,   0.05944
  61.00000,   0.06102
  62.00000,   0.06172
  63.00000,   0.06676
  64.00000,   0.05318
  65.00000,   0.06443
  66.00000,   0.04767
  67.00000,   0.06526
  68.00000,   0.05213
  69.00000,   0.05919
  70.00000,   0.06398
  71.00000,   0.05561
  72.00000,   0.05354
  73.00000,   0.05981
  74.00000,   0.06241
  75.00000,   0.04506
  76.00000,   0.06805
  77.00000,   0.04531
  78.00000,   0.03939
  79.00000,   0.04800
  80.00000,   0.06271
  81.00000,   0.06311
  82.00000,   0.04988
  83.00000,   0.03815
  84.00000,   0.04949
  85.00000,   0.06323
  86.00000,   0.04953
  87.00000,   0.05436
  88.00000,   0.07513
  89.00000,   0.05234
  90.00000,   0.03828
  91.00000,   0.05714
  92.00000,   0.04427
  93.00000,   0.06779
  94.00000,   0.07086
  95.00000,   0.07046
  96.00000,   0.05409
  97.00000,   0.06705
  98.00000,   0.06137
  99.00000,   0.06906
 100.00000,   0.05543
 101.00000,   0.07661
 102.00000,   0.05712
 103.00000,   0.05638
 104.00000,   0.05753
 105.00000,   0.05723
 107.00000,   0.05962
 108.00000,   0.07612
 111.00000,   0.06855
 112.00000,   0.04864
 113.00000,   0.06356
 114.00000,   0.06465
 115.00000,   0.07305
 116.00000,   0.05568
 117.00000,   0.05692
 118.00000,   0.07571
 119.00000,   0.06253
 120.00000,   0.05236
 201.00000,   0.05702
 202.00000,   0.03884
 203.00000,   0.07329
 204.00000,   0.06210
 205.00000,   0.05348
 206.00000,   0.04643
 207.00000,   0.06773
 208.00000,   0.04977
 209.00000,   0.06305
 210.00000,   0.04242
