UnitID,LRLD30rate 
   1.00000,   0.04206
   2.00000,   0.06450
   3.00000,   0.05293
   4.00000,   0.07498
   5.00000,   0.06119
   6.00000,   0.04896
   7.00000,   0.06737
   8.00000,   0.05099
   9.00000,   0.07825
  10.00000,   0.06496
  11.00000,   0.06537
  12.00000,   0.05971
  13.00000,   0.06523
  14.00000,   0.04512
  15.00000,   0.06885
  16.00000,   0.06355
  17.00000,   0.06341
  18.00000,   0.07193
  19.00000,   0.05698
  20.00000,   0.08167
  21.00000,   0.06539
  22.00000,   0.05500
  23.00000,   0.06211
  24.00000,   0.05729
  25.00000,   0.07390
  26.00000,   0.07690
  27.00000,   0.06900
  28.00000,   0.06654
  29.00000,   0.07229
  30.00000,   0.04224
  31.00000,   0.05169
  32.00000,   0.05487
  33.00000,   0.05852
  34.00000,   0.07240
  35.00000,   0.04796
  36.00000,   0.05833
  37.00000,   0.05344
  38.00000,   0.07398
  39.00000,   0.06329
  40.00000,   0.05521
  41.00000,   0.07270
  42.00000,   0.05412
  43.00000,   0.05634
  44.00000,   0.04922
  45.00000,   0.05829
  46.00000,   0.05208
  47.00000,   0.05089
  48.00000,   0.06390
  49.00000,   0.04735
  50.00000,   0.07313
  51.00000,   0.06998
  52.00000,   0.06998
  53.00000,   0.05199
  60.00000,   0.06863
  61.00000,   0.05482
  62.00000,   0.04878
  63.00000,   0.05792
  64.00000,   0.06050
  65.00000,   0.05267
  66.00000,   0.04472
  67.00000,   0.06675
  68.00000,   0.06047
  69.00000,   0.07791
  70.00000,   0.05644
  71.00000,   0.08487
  72.00000,   0.05590
  73.00000,   0.09175
  74.00000,   0.08080
  75.00000,   0.05900
  76.00000,   0.06695
  77.00000,   0.05340
  78.00000,   0.06196
  79.00000,   0.05068
  80.00000,   0.07670
  81.00000,   0.06606
  82.00000,   0.08146
  83.00000,   0.06973
  84.00000,   0.05804
  85.00000,   0.07128
  86.00000,   0.06848
  87.00000,   0.08068
  88.00000,   0.06361
  89.00000,   0.05868
  90.00000,   0.05015
  91.00000,   0.06751
  92.00000,   0.04252
  93.00000,   0.07412
  94.00000,   0.07472
  95.00000,   0.06047
  96.00000,   0.07708
  97.00000,   0.05801
  98.00000,   0.06491
  99.00000,   0.06382
 100.00000,   0.05584
 101.00000,   0.06438
 102.00000,   0.05350
 103.00000,   0.05108
 104.00000,   0.06697
 105.00000,   0.05551
 107.00000,   0.06777
 108.00000,   0.06481
 111.00000,   0.06489
 112.00000,   0.05687
 113.00000,   0.05644
 114.00000,   0.06290
 115.00000,   0.05051
 116.00000,   0.06232
 117.00000,   0.06863
 118.00000,   0.06499
 119.00000,   0.05397
 120.00000,   0.06651
 201.00000,   0.04889
 202.00000,   0.05520
 203.00000,   0.05917
 204.00000,   0.06569
 205.00000,   0.05519
 206.00000,   0.06468
 207.00000,   0.07179
 208.00000,   0.05145
 209.00000,   0.04676
 210.00000,   0.07580
 211.00000,   0.05501
 212.00000,   0.07513
 213.00000,   0.04822
 214.00000,   0.05220
 215.00000,   0.04924
 216.00000,   0.06713
 217.00000,   0.06356
 218.00000,   0.06326
 219.00000,   0.08303
 220.00000,   0.06981
 221.00000,   0.07569
 222.00000,   0.07286
 223.00000,   0.08417
 224.00000,   0.05778
