adminID,pre,post
1,17.8718,9.55911
2,21.262,10.9515
3,13.44,6.77001
4,15.8011,6.47298
5,21.0945,8.62083
6,18.7701,7.6805
7,11.3391,8.61345
8,20.101,14.6016
9,20.798,8.51079
10,24.5251,15.0402
11,23.13,10.5819
12,25.8734,14.8218
13,10.5575,8.24722
14,14.1302,8.96649
15,3.18156,0.580982
16,-0.37854,-9.28001
17,0.0938773,-11.04
18,-0.1854,-7.38103
19,13.5648,-8.07977
20,-7.28197,-6.09904
21,-1.54163,-11.7916
22,-1.56126,-7.36073
23,3.07802,-8.47674
24,3.5752,-4.97703
25,-0.140329,-8.00267
26,-8.5891,-9.10219
27,-7.81215,-11.863
28,-6.71475,-9.49439
29,-8.5416,-12.0617
30,-1.82741,-6.74233
31,-4.45883,-6.04471
32,-1.34041,-6.75742
33,8.62852,-1.47281
34,-2.44723,-8.79582
35,3.80926,-5.02043
36,15.0602,4.73406
37,17.5422,3.52283
38,14.3027,4.90149
39,31.2964,0.200173
40,26.3036,4.16605
41,19.4885,4.97637
42,29.776,5.5776
43,15.1014,3.38838
44,16.6036,-1.13467
45,18.4221,7.18602
46,42.0384,4.53565
47,17.1484,8.1984
48,22.4891,-2.76913
49,37.3899,0.12903
50,18.6655,4.15097
51,24.4464,-1.76965
52,19.0229,3.53345
53,15.3467,-0.601425
60,16.5015,-6.24855
61,32.837,-0.453441
62,24.539,-0.108873
63,28.2909,-0.328076
64,5.69319,4.71185
65,-1.73698,-1.2991
66,-1.01375,-1.08591
67,5.53586,3.68076
68,21.9867,5.24981
69,17.1973,7.46858
70,-4.74814,-0.722885
71,1.56105,-9.17696
72,22.6822,-7.81648
73,11.3718,-10.9148
74,7.3838,-9.25179
75,-8.00529,-16.6621
76,0.0433947,-8.0542
77,-0.997258,-4.68685
78,17.4099,-0.210281
79,24.4061,3.47874
80,17.8973,3.00279
81,12.6187,-3.89788
82,14.8979,1.26908
83,11.7762,2.52359
84,18.7185,2.0321
85,17.6983,5.37216
86,15.1178,-3.61491
87,18.7946,0.262178
88,27.0913,12.14
89,2.9927,-4.15185
90,12.919,1.20689
91,4.88523,-3.81527
92,14.9202,2.37357
93,27.7914,10.8497
94,20.5002,8.44865
95,38.7951,0.963046
96,0.760069,-11.5427
97,29.4344,-3.7752
98,12.33,-7.29037
99,7.29114,-11.2831
100,32.4515,-0.806049
101,17.5039,-4.49506
102,32.1618,-1.44592
103,26.7369,-2.44448
104,13.7881,-5.73713
105,24.1557,-4.72225
107,-0.315895,-11.1301
108,11.0745,-5.77983
111,21.749,5.78323
112,30.6563,7.88616
113,3.87283,3.13213
114,1.00618,-6.05718
115,8.71653,-2.0973
116,1.10967,-0.444265
117,3.5828,-1.36732
118,30.6905,9.24897
119,1.15986,-2.13947
120,3.32668,-5.60791
201,0.705318,0.303702
202,4.36586,2.6441
203,-1.03009,1.66581
204,-4.60154,3.93413
205,-4.25633,6.99095
206,19.2465,1.70324
207,14.5752,4.74812
208,26.3886,9.00105
209,29.099,5.57982
210,-2.27678,0.831501
211,0.691753,2.83171
212,-7.41531,-0.495837
213,7.94175,0.805759
214,11.4225,-2.1145
215,13.6445,-2.21006
216,8.27531,-4.31457
217,14.2372,-0.612981
218,-7.11837,6.83632
219,-9.14038,6.5314
220,-7.20794,5.86522
221,-10.1294,1.17127
222,2.28759,4.2699
223,-0.970671,7.62687
224,13.7918,9.31462
