;Seasonal cumulation of Z-scored aggregated data for GIMMS of Ethiopian woredas
adminID, pixels,1981S,1982L,1982S,1983L,1983S,1984L,1984S,1985L,1985S,1986L,1986S,1987L,1987S,1988L,1988S,1989L,1989S,1990L,1990S,1991L,1991S,1992L,1992S,1993L,1993S,1994L,1994S,1995L,1995S,1996L,1996S,1997L,1997S,1998L,1998S,1999L,1999S,2000L,2000S,2001L,2001S,2002L,2002S,2003L,2003S,2004L,2004S,2005L,2005S,2006L,2006S,2007L,2007S,2008L,2008S,2009L,2009S,2010L,2010S,2011L
201,6818,-7.62615,4.11191,7.23601,3.11612,-4.46058,-13.5941,-9.67407,4.77344,-8.48491,18.1944,0.561591,5.98917,-1.82292,3.78348,0.646059,8.94880,8.52734,-4.54220,-1.17561,-14.2873,-8.12148,-10.3782,0.452900,7.54814,-9.27248,-4.92849,3.31541,2.93969,-1.90700,-1.91927,-4.00013,-3.30087,26.4521,14.6139,-4.36435,-3.56644,-5.34488,-7.33982,-2.94571,-2.95901,-6.71686,1.93919,8.18983,6.95290,1.45017,5.08264,6.44013,-0.504445,-2.05379,1.30255,3.96100,-1.36142,-7.58365,-12.7011,3.78985,0.159638,-2.61861,9.63603,-5.84588,-7.54694
202,5933,-3.44092,7.88577,14.6798,-0.976630,-8.38880,-18.1818,-13.0153,17.1684,-4.52090,17.4675,1.12084,12.7529,-1.84465,5.74902,-1.78579,11.1528,7.31654,6.34157,-3.04538,-10.7608,-7.93250,-11.5318,-3.71646,6.10037,-7.48234,-0.509191,1.66305,5.83132,-5.07971,6.53906,-4.10442,5.67365,32.0882,22.0066,-5.87012,0.668031,-3.78924,-8.21871,-5.52456,1.89554,-2.58081,0.0890540,6.52506,7.01903,1.02134,8.99122,6.46733,-3.39205,-6.14635,4.49467,6.27711,-0.0686616,-5.70022,-11.8229,-0.214271,1.21678,-3.73124,7.54448,-3.58850,-15.9671
203,8017,-5.21873,-1.41571,5.80419,-4.39309,-6.52203,-11.6247,-3.74228,4.64392,-7.11141,13.0146,3.84414,11.9540,-4.42344,3.32466,-4.11822,1.46540,2.42076,5.27180,-0.467515,-7.29027,-5.25051,-7.55964,-1.30618,3.93543,-7.29014,0.485117,5.68982,0.0300400,-5.65124,1.63942,-5.39431,5.45991,21.3263,20.1673,-3.56755,0.416629,-3.35401,-8.61519,-4.53761,4.04770,-3.72552,-0.277693,5.66586,8.99562,0.696498,0.752837,2.02053,-3.40724,-6.13164,2.47338,1.19050,6.11737,-8.31799,-9.79652,3.31397,-4.24135,1.80904,8.63528,-5.11575,-13.2994
204,5072,-2.85138,3.82153,10.2244,-4.86838,-5.18944,-14.7060,-5.44145,17.1497,-6.00764,15.5776,7.24923,10.6033,-4.03734,5.30676,-0.498342,5.12531,5.46364,7.88396,-0.210945,-11.7902,-5.96552,-11.7542,0.280204,10.8496,-7.62314,1.48313,6.75942,1.73596,-4.76002,3.44290,-5.42234,3.02340,27.1888,20.5123,-3.73309,4.37649,-4.66336,-12.2499,-4.64425,4.56108,-4.05935,2.11499,6.06479,6.20400,0.141439,4.34842,7.28568,1.08669,-6.64683,3.43856,2.72801,-0.294384,-7.09021,-14.3532,4.84702,-4.25636,-0.991784,11.4317,-7.55263,-14.2815
205,2680,-3.78306,0.816232,8.32287,3.34564,0.0805620,-5.75676,0.594809,2.55351,-10.3469,6.87699,6.15844,9.29442,2.89280,1.27185,3.71970,3.07491,16.1717,-1.06479,-1.07361,-10.2368,-12.9564,-1.21858,1.32606,5.24652,-3.37872,-5.30728,6.17376,6.37013,0.700625,4.29892,-0.781748,-2.97784,24.3851,5.71056,1.15405,-11.4584,-5.10259,-9.77670,4.08087,3.57190,-8.78421,-0.762302,2.56282,-2.73845,-0.582085,0.528393,5.00874,5.54944,1.83795,4.59137,5.42180,-0.260458,-4.52814,-9.96587,4.69265,-7.45649,-1.20136,7.84984,-7.57496,-0.907377
206,1880,-6.40023,5.44695,9.89154,9.16796,1.76412,0.601503,-1.75319,6.24070,-10.2623,9.95760,1.29419,13.2944,2.92276,6.16077,-0.982528,9.27292,17.1232,4.96565,1.72784,-4.49204,-16.4774,-6.25666,0.731625,9.82100,-6.74837,-0.724091,4.97777,11.2006,3.87999,7.13060,-2.63953,0.573519,25.6926,7.67636,-0.753260,-10.2037,-10.7370,-10.9039,4.37762,4.88708,-10.5164,-4.75384,5.43451,-0.359095,-4.57319,-3.99910,3.90549,1.32624,5.20006,5.02945,2.97015,-4.89557,-6.95269,-4.11842,2.04864,-6.80300,4.20551,10.8217,-8.63771,2.86455
207,2284,-0.279188,11.2544,12.7066,5.80283,-1.27428,-15.3596,-5.30790,19.2547,-1.05363,18.0257,5.36097,11.3401,-3.20767,9.44739,0.244880,12.5676,6.75065,14.1413,4.63326,-3.94337,-4.76939,-5.28540,-1.37747,8.78881,-2.73570,-2.16781,3.44703,6.27750,-3.38674,6.15405,-5.27691,4.04013,25.5299,27.5012,0.648505,9.20936,-0.428468,-9.35258,-5.16566,5.37660,-5.13636,2.06901,3.64621,11.3812,5.23946,1.02379,9.48212,-1.35995,-9.13453,1.75486,9.93401,3.77945,-3.64492,-2.79210,1.57734,-1.12342,-2.01985,3.90135,-9.20916,-24.0107
208,1752,1.35396,11.0854,12.3475,6.09776,-1.06232,-9.77067,-4.93200,15.8534,0.430893,11.0390,2.27740,11.0502,-2.06157,5.07658,-0.375683,12.1180,6.79311,16.0697,6.57863,-4.44940,-2.10657,-2.94399,1.11247,5.56744,-0.891828,0.954429,5.99058,5.84088,-1.65373,0.552020,-5.72516,6.22666,27.5901,25.3874,-0.213904,3.83018,-0.599463,-4.55677,-7.14246,3.95129,-3.63835,-0.113681,4.39561,9.21004,3.41673,5.14821,7.23209,-4.40650,-11.1111,1.09939,13.9650,1.27083,-3.31028,-2.33373,1.62821,2.49788,-3.41275,4.41571,-9.57792,-20.7395
209,9245,-6.58202,-7.98564,5.14999,-5.34604,-6.50378,-7.06681,-1.96186,1.01152,-7.89535,5.92028,-1.05581,9.19273,-4.16622,3.19124,-0.436960,1.53623,8.55340,2.57641,-1.40001,-7.09923,-5.57741,-5.58977,1.61371,2.07498,-8.24355,1.17927,7.31907,-3.52977,-5.12272,1.46590,-5.49630,1.43788,21.0436,8.58553,-3.88038,-3.24117,-5.36578,-11.1155,-2.45741,-1.12345,-3.76950,-3.65123,6.95764,4.39827,-2.32952,-1.90483,-1.20731,1.33763,-3.98294,2.65817,5.64310,9.97382,-6.14438,-10.6823,5.41021,-2.50185,-0.577106,8.53326,-5.28970,-7.03750
210,6499,-5.12058,-4.80322,5.89459,-11.2371,-3.36054,-14.3711,-3.35458,-1.93083,-11.0461,6.69332,6.05638,11.3056,-1.20353,1.70763,3.95700,1.64692,12.7803,-4.92310,-2.97599,-14.6176,-6.63353,-9.41732,3.04546,4.32096,-7.54536,-0.982892,2.57529,-2.02738,-2.84521,-2.97698,-6.67357,-6.16974,23.3066,4.86826,-5.07185,-10.3715,-6.17038,-14.8812,1.53286,-3.20293,-7.42016,-2.10539,4.69689,0.481618,0.0251179,7.04232,5.18177,3.41898,-0.732545,-0.633240,4.10583,1.05306,-9.12310,-14.3338,6.00805,1.07025,-0.734401,9.31450,-5.67888,-2.10540
