;Seasonal cumulation of Z-scored aggregated data for eMODIS of Ethiopian woredas (Borana)
adminID, pixels,2001L,2001S,2002L,2002S,2003L,2003S,2004L,2004S,2005L,2005S,2006L,2006S,2007L,2007S,2008L,2008S,2009L,2009S,2010L,2010S,2011L,2011S,2012L,2012S,2013L,2013S
201,78730,-4.10947,-11.6237,2.47737,10.6054,17.8439,4.68524,2.74409,9.08576,5.27790,-5.41732,-0.144128,8.08325,0.209565,-7.63805,-15.3415,3.37232,-4.91358,-4.00601,11.2915,-8.28310,-15.3356,11.1603,8.59517,3.37532,6.63260,7.50135
202,70643,0.655708,-6.67621,-4.75030,7.74666,25.6544,5.63086,6.38706,10.2148,1.71814,-8.72451,0.693092,12.9616,-0.786251,-6.55863,-13.3564,-0.969289,-3.99780,-6.42918,8.67262,-5.89386,-20.8901,13.2463,3.95202,9.20734,27.8466,7.16057
203,95503,0.635108,-6.48156,-3.17295,9.27275,23.3233,4.61461,-1.51308,5.33335,-1.57380,-10.3846,0.925256,5.27385,9.52328,-5.78638,-11.6877,-0.559429,-9.90735,0.684017,11.2413,-9.07297,-17.7934,9.82449,-4.07472,2.04298,2.91373,1.71567
204,60066,1.40375,-7.31945,2.52315,8.70707,22.7434,2.73764,2.22255,8.91164,3.83955,-11.1670,1.63680,8.26574,1.54242,-6.76554,-14.7991,4.74326,-12.6822,-2.21179,11.1528,-9.57303,-19.5832,13.8606,2.09827,2.61260,10.1755,-0.656074
205,29600,-0.159207,-8.73440,-0.604234,4.81251,4.11401,0.654896,-0.957142,7.93322,8.51536,-1.68528,3.82632,12.6207,-1.66186,-8.39948,-8.36334,3.81957,-7.31428,-5.01398,11.1508,-10.6709,-8.54641,8.11531,0.0919028,0.606886,-7.71584,5.04917
206,20520,-0.877370,-11.7164,-2.38594,9.64320,2.12248,-3.91840,-1.35569,7.59484,8.68004,3.35680,1.34837,7.08766,-7.86529,-8.92768,-2.98542,2.29744,-5.90178,-1.23001,14.5232,-14.0126,-5.30266,8.79888,5.71399,2.20207,-8.60540,6.61207
207,26670,0.378549,-9.81736,-1.55202,6.33378,26.9833,8.36531,1.63604,9.82362,2.57679,-12.6613,-1.45215,16.9155,6.39659,-5.19421,-4.19423,0.124874,-7.14241,-1.95453,3.21193,-11.5291,-26.8424,7.63466,-1.33259,6.50281,18.5321,2.16893
208,19396,-4.02807,-7.86671,-5.38704,7.57213,25.3619,4.43601,4.15807,10.2497,-0.271628,-14.5386,-0.591076,22.0032,4.21064,-6.11038,-1.10231,-0.208374,0.392425,-4.46146,4.58746,-10.7081,-27.3304,8.65985,-5.07437,1.00776,12.9256,-1.42731
209,104111,-7.10718,-8.10454,-7.35350,8.93697,14.5335,-0.769185,-4.22386,-0.0574723,7.01432,-8.39583,1.91500,12.8785,15.9420,-2.15423,-8.32252,3.92498,-10.3564,-2.01480,13.0961,-8.71659,-15.1375,11.7247,7.12246,1.37812,-2.04987,1.21356
210,76900,-5.34076,-10.0794,-1.10306,6.66859,13.0309,2.32574,4.84473,7.05733,8.85999,-4.12536,-1.32537,10.0137,0.635442,-8.66399,-14.8606,4.21642,-5.34751,-1.80722,11.7687,-9.07273,-11.1625,8.30290,-1.29324,-1.21538,-2.93278,2.94408
